ID,Program_Area,Program_Name,Fiscal_Year,Activity_Code,Grant_Number,Grantee_Name,State,County,Congressional_District,Grantee_Class,Awardee_Amount,Grantee_Contact_Details
890,Maternal and Child Health,Pediatric Mental Health Care Access Program,2021,U4C,U4CMC32312,Alabama Dept of Mental Health,AL,Montgomery,AL-02,U.S. Government Entity,395128,"100 N Union St Ste 520  Montgomery, AL 36104-3719 "
891,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2021,X10,X10MC43564,"Early Childhood Education, Alabama Department Of",AL,Montgomery,AL-02,U.S. Government Entity,6678553,"445 Dexter Ave Ste 2050  Montgomery, AL 36104-3868 "
892,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41937,"Early Childhood Education, Alabama Department Of",AL,Montgomery,AL-02,U.S. Government Entity,756751,"445 Dexter Ave Ste 2050  Montgomery, AL 36104-3868 "
893,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC00001,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",AL,Montgomery,AL-02,U.S. Government Entity,100000,"201 Monroe St Ste 1050  Montgomery, AL 36104-6959 "
894,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC00054,"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",AL,Montgomery,AL-02,U.S. Government Entity,161685,"201 Monroe St Ste 1050  Montgomery, AL 36104-6959 "
895,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC32232,Stone Soup Group,AK,Anchorage,AK-00,Other,96750,"307 E Northern Lights Blvd Ste 100  Anchorage, AK 99503-2701 "
896,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC12893,Stone Soup Group,AK,Anchorage,AK-00,Other,96750,"307 E Northern Lights Blvd Ste 100  Anchorage, AK 99503-2701 "
897,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC20663,UNIVERSITY OF ALASKA ANCHORAGE,AK,Anchorage,AK-00,U.S. Government Entity,535567,"3211 Providence Dr  Anchorage, AK 99508-4614 "
898,Maternal and Child Health,Pediatric Mental Health Care Access Program,2021,U4C,U4CMC32323,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,407116,"350 Main St Rm 427  Juneau, AK 99801-1149 "
899,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41908,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,165284,"350 Main St Rm 427  Juneau, AK 99801-1149 "
900,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC00015,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,235000,"350 Main St Rm 427  Juneau, AK 99801-1149 "
901,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC00002,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,159926,"350 Main St Rm 427  Juneau, AK 99801-1149 "
902,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC06688,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,116550,"350 Main St Rm 427  Juneau, AK 99801-1149 "
903,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40114,"HEALTH AND SOCIAL SERVICES, ALASKA DEPARTMENT OF",AK,Juneau,AK-00,U.S. Government Entity,1113786,"350 Main St Rm 427  Juneau, AK 99801-1149 "
904,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC06697,AMERICAN SAMOA GOVERNMENT,AS,Western,AS-98,Other,77999,"AMERICAN SAMOA GOVERNMENT  PAGO PAGO, AS 96799 "
905,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40115,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,493983,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
906,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC33903,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,235000,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
907,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC00059,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,50000,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
908,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41922,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,100000,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
909,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2021,X10,X10MC43566,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,977661,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
910,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC32233,DEPARTMENT OF HEALTH,AS,Western,AS-98,U.S. Government Entity,96750,"ONE FAGAALU ROAD  PAGO PAGO, AS 96799 "
911,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC07942,Raising Special Kids,AZ,Maricopa,AZ-07,"Corporate Entity, Federal Tax Exempt",49000,"5025 E Washington St Ste 204  Phoenix, AZ 85034-7439 "
912,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC30765,EAR FOUNDATION OF ARIZONA,AZ,Maricopa,AZ-07,"Corporate Entity, Federal Tax Exempt",245000,"326 E Coronado Rd Ste 203  Phoenix, AZ 85004-1524 "
913,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40117,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,7432377,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
914,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC00003,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,87513,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
915,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC06690,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,130000,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
916,Maternal and Child Health,Maternal and Child Health Nutrition Training Program,2021,T79,T79MC31884,ARIZONA STATE UNIVERSITY,AZ,Maricopa,AZ-09,U.S. Government Entity,224995,"660 S Mill Ave Ste 312  Tempe, AZ 85281-3670 "
917,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41914,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,1081851,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
918,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC00174,"MARICOPA, COUNTY OF",AZ,Maricopa,AZ-09,U.S. Government Entity,1264702,"4041 N Central Ave Ste 1400  Phoenix, AZ 85012-3314 "
919,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2021,X10,X10MC43567,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,10933458,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
920,Maternal and Child Health,State Maternal Health Innovation Program,2021,U7A,U7AMC33714,Arizona Department of Health Services,AZ,Maricopa,AZ-07,U.S. Government Entity,2072222,"150 N 18th Ave Ste 530  Phoenix, AZ 85007-3248 "
921,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program,2021,D1J,D1JMC42462,"Sickle Cell Foundation of Arizona, Inc.",AZ,Pima,AZ-02,"Corporate Entity, Not Federal Tax Exempt",184000,"11360 S Cienega Park Pl  Vail, AZ 85641-8815 "
922,Maternal and Child Health,Pediatric Obesity CoIIN 2.0,2021,U7N,U7NMC39437,Association of State and Territorial Public Health Nutrition Directors,AZ,Pima,AZ-02,"Corporate Entity, Not Federal Tax Exempt",300000,"6760 N Calle Lomita  Tucson, AZ 85704-6926 "
923,Maternal and Child Health,Pediatric Pulmonary Centers,2021,T72,T72MC00012,University of Arizona,AZ,Pima,AZ-03,U.S. Government Entity,340000,"888 N Euclid Ave Rm 510  Tucson, AZ 85719-4824 "
924,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC20662,University of Arizona,AZ,Pima,AZ-03,U.S. Government Entity,623558,"888 N Euclid Ave Rm 510  Tucson, AZ 85719-4824 "
925,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC32729,UNIVERSITY OF ARKANSAS SYSTEM,AR,Pulaski,AR-02,Other,1269116,"4301 W Markham St  Little Rock, AR 72205-7101 "
926,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC11045,UNIVERSITY OF ARKANSAS SYSTEM,AR,Pulaski,AR-02,Other,713466,"4301 W Markham St  Little Rock, AR 72205-7101 "
927,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program,2021,T1C,T1CMC35359,UNIVERSITY OF ARKANSAS SYSTEM,AR,Pulaski,AR-02,Other,70000,"4301 W Markham St  Little Rock, AR 72205-7101 "
928,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40118,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,7002733,"4815 W Markham St  Little Rock, AR 72205-3866 "
929,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2021,X10,X10MC43568,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,7465107,"4815 W Markham St  Little Rock, AR 72205-3866 "
930,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC00004,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,100000,"4815 W Markham St  Little Rock, AR 72205-3866 "
931,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41921,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,934626,"4815 W Markham St  Little Rock, AR 72205-3866 "
932,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC11303,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,130000,"4815 W Markham St  Little Rock, AR 72205-3866 "
933,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC00076,ARKANSAS DEPARTMENT OF HEALTH,AR,Pulaski,AR-02,U.S. Government Entity,233633,"4815 W Markham St  Little Rock, AR 72205-3866 "
934,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC12900,Arkansas Disability Coalition,AR,Saline,AR-02,"Corporate Entity, Federal Tax Exempt",96750,"13301 Betty Cir  Alexander, AR 72002-7273 "
935,Maternal and Child Health,Thalassemia,2021,U1A,U1AMC28548,Children's Hospital & Research Center At Oakland,CA,Alameda,CA-13,"Corporate Entity, Federal Tax Exempt",175000,"747 52nd St  Oakland, CA 94609-1809 "
936,Maternal and Child Health,Maternal and Child Health Public Health Training Program,2021,T76,T76MC00002,"Regents Of The University Of California, The",CA,Alameda,CA-13,Other,345780,"1608 4th St Ste 220  Berkeley, CA 94710-1749 "
937,Maternal and Child Health,MCH Pipeline Training Program,2021,T16,T16MC41742,"Regents Of The University Of California, The",CA,Alameda,CA-13,Other,154193,"1608 4th St Ste 220  Berkeley, CA 94710-1749 "
938,Maternal and Child Health,Maternal and Child Health Nutrition Training Program,2021,T79,T79MC25736,"Regents Of The University Of California, The",CA,Alameda,CA-13,Other,225000,"1608 4th St Ste 220  Berkeley, CA 94710-1749 "
939,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC00130,"ALAMEDA, COUNTY OF",CA,Alameda,CA-13,U.S. Government Entity,1269121,"1000 Broadway Ste 300  Oakland, CA 94607-4099 "
940,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC00150,"FRESNO, COUNTY OF",CA,Fresno,CA-16,U.S. Government Entity,955033,"1221 Fulton St  Fresno, CA 93721-1915 "
941,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC00094,SHIELDS FOR FAMILIES,CA,Los Angeles,CA-43,"Corporate Entity, Federal Tax Exempt",980000,"11601 S Western Ave  Los Angeles, CA 90047-5006 "
942,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC31601,AltaMed Health Services Corporation,CA,Los Angeles,CA-40,"Corporate Entity, Federal Tax Exempt",50000,"2040 Camfield Ave  Commerce, CA 90040-1502 "
943,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC30727,AltaMed Health Services Corporation,CA,Los Angeles,CA-40,"Corporate Entity, Federal Tax Exempt",50000,"2040 Camfield Ave  Commerce, CA 90040-1502 "
944,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC30793,ACHIEVABLE FOUNDATION THE,CA,Los Angeles,CA-37,"Corporate Entity, Federal Tax Exempt",50000,"5901 Green Valley Cir Ste 405  Culver City, CA 90230-6971 "
945,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH),2021,T71,T71MC30799,Childrens Hospital Los Angeles,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",411828,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
946,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC00008,Childrens Hospital Los Angeles,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",788466,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
947,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program,2021,D1J,D1JMC42463,"Cayenne Wellness Center And Children's Foundation, Inc.",CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",184000,"205 S Flower St  Burbank, CA 91502-2102 "
948,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2021,T77,T77MC25732,Childrens Hospital Los Angeles,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",187115,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
949,Maternal and Child Health,Pediatric Pulmonary Centers,2021,T72,T72MC37404,Childrens Hospital Los Angeles,CA,Los Angeles,CA-28,"Corporate Entity, Federal Tax Exempt",332723,"4650 W Sunset Blvd  Los Angeles, CA 90027-6062 "
950,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC30114,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,535583,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
951,Maternal and Child Health,Autism Intervention Research Network on Physical Health,2021,UT2,UT2MC39440,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,3000000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
952,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC32718,"LOS ANGELES, COUNTY OF",CA,Los Angeles,CA-34,U.S. Government Entity,1144121,"313 N Figueroa St Fl 9  Los Angeles, CA 90012-2602 "
953,Maternal and Child Health,Autism Intervention Research Network on Behavioral Health,2021,UT3,UT3MC39436,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,2000000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
954,Maternal and Child Health,Maternal and Child Health Nutrition Training Program,2021,T79,T79MC00013,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,224992,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
955,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC40193,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,50000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
956,Maternal and Child Health,Autism Secondary Data Analysis Research (SDAR) Program,2021,R41,R41MC42491,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,99998,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
957,Maternal and Child Health,Maternal and Child Health Public Health Training Program,2021,T76,T76MC00014,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,375965,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
958,Maternal and Child Health,MCH Research Network Programs,2021,UA6,UA6MC32492,"University Of California, Los Angeles",CA,Los Angeles,CA-33,U.S. Government Entity,1200000,"10889 Wilshire Blvd Ste 700  Los Angeles, CA 90024-4201 "
959,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS),2021,H30,H30MC24045,"Center For Comprehensive Care and Diagnosis of Inherited Blood Disorders, The",CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",500000,"2670 N Main St Ste 150  Santa Ana, CA 92705-6658 "
960,Maternal and Child Health,Sickle Cell Treatment Demonstration Program,2021,U1E,U1EMC27862,"Center For Comprehensive Care and Diagnosis of Inherited Blood Disorders, The",CA,Orange,CA-46,"Corporate Entity, Federal Tax Exempt",900000,"2670 N Main St Ste 150  Santa Ana, CA 92705-6658 "
961,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention,2021,H61,H61MC33904,NorCal Services for Deaf and Hard of Hearing,CA,Sacramento,CA-03,"Corporate Entity, Federal Tax Exempt",235000,"4044 N Freeway Blvd  Sacramento, CA 95834-1239 "
962,Maternal and Child Health,MCHB State Systems Development Initiative,2021,H18,H18MC24474,"Health Care Services, California Department of",CA,Sacramento,CA-06,U.S. Government Entity,100000,"1501 Capitol Ave  Sacramento, CA 95814-5005 "
963,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC07874,"EMERGENCY MEDICAL SERVICES AUTHORITY, CA",CA,Sacramento,CA-07,U.S. Government Entity,130000,"10901 Gold Center Dr Ste 400  Rancho Cordova, CA 95670-6073 "
964,Maternal and Child Health,American Rescue Plan Act Funding for Home Visiting,2021,X11,X11MC41912,"Public Health, California Department of",CA,Sacramento,CA-06,U.S. Government Entity,2834190,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
965,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program",2021,X10,X10MC43569,"Public Health, California Department of",CA,Sacramento,CA-06,U.S. Government Entity,18926293,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
966,Maternal and Child Health,Maternal and Child Health Services,2021,B04,B04MC40119,"Public Health, California Department of",CA,Sacramento,CA-06,U.S. Government Entity,39255586,"1615 Capitol Ave  Sacramento, CA 95814-5015 "
967,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC42027,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,San Diego,CA-49,"Corporate Entity, Federal Tax Exempt",448574,"9500 Gilman Dr  La Jolla, CA 92093-5004 "
968,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities,2021,H49,H49MC27828,Project Concern International,CA,San Diego,CA-52,"Corporate Entity, Federal Tax Exempt",1269121,"5151 Murphy Canyon Rd Ste 320  San Diego, CA 92123-4339 "
969,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC33886,VISTA COMMUNITY CLINIC,CA,San Diego,CA-49,"Corporate Entity, Federal Tax Exempt",50000,"1000 Vale Terrace Dr  Vista, CA 92084-5218 "
970,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program,2021,H17,H17MC40187,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",CA,San Diego,CA-51,"Corporate Entity, Federal Tax Exempt",50000,"1601 Precision Park Ln  San Diego, CA 92173-1345 "
971,Maternal and Child Health,Screening and Interventions for Adverse Childhood Experiences in Primary Care Settings Demonstration,2021,U2C,U2CMC42678,SAFE & SOUND,CA,San Francisco,CA-12,"Corporate Entity, Federal Tax Exempt",960000,"1757 Waller St  San Francisco, CA 94117-2727 "
972,Maternal and Child Health,Family Professional Partnership/CSHCN,2021,H84,H84MC07943,Support For Families Of Children With Disabilities,CA,San Francisco,CA-12,"Corporate Entity, Federal Tax Exempt",49000,"1663 Mission St Ste 700  San Francisco, CA 94103-2489 "
973,Maternal and Child Health,Pediatric Pulmonary Centers,2021,T72,T72MC37405,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,340000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
974,Maternal and Child Health,Training CED/COR Pediatric and Child Psychiatry,2021,T20,T20MC21952,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,15000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
975,Maternal and Child Health,Leadership Education  in Adolescent Health (LEAH),2021,T71,T71MC00003,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,437942,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
976,Maternal and Child Health,Long-term Follow-up for SCID and other NBS Conditions,2021,U1W,U1WMC42319,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,460854,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
977,Maternal and Child Health,State Adolescent and Young Adult Health Capacity Building Program,2021,U45,U45MC27709,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,1150000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
978,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion,2021,U4A,U4AMC44234,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,445000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
979,Maternal and Child Health,MCH Research Network Programs,2021,UA6,UA6MC27378,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE",CA,San Francisco,CA-12,U.S. Government Entity,320000,"1855 Folsom St Ste 425  San Francisco, CA 94103-4249 "
980,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2021,T77,T77MC09796,"Leland Stanford Junior University, The",CA,Santa Clara,CA-18,"Corporate Entity, Federal Tax Exempt",187115,"450 Jane Stanford Way  Stanford, CA 94305-2004 "
981,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC30113,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",535583,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
982,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2021,T77,T77MC25733,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",187115,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
983,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program,2021,R40,R40MC35364,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",299991,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
984,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN),2021,U03,U03MC00001,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,Yolo,CA-03,"Corporate Entity, Federal Tax Exempt",700000,"1850 Research Park Dr Ste 300  Davis, CA 95618-6153 "
985,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program,2021,T73,T73MC11044,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,698558,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
986,Maternal and Child Health,EMSC Partnership Grants,2021,H33,H33MC31619,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,293756,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
987,Maternal and Child Health,Developmental-Behavioral Pediatrics Training Program,2021,T77,T77MC25731,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,187114,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
988,Maternal and Child Health,MCH Research Network Programs,2021,UA6,UA6MC31101,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",CO,Adams,CO-06,U.S. Government Entity,997396,"13001 E 17th Pl Ste F428  Aurora, CO 80045-2571 "
