Award_Year,Grantee_Name,Grantee_Address,Grantee_City,Grantee_State_Abbreviation,Grantee_ZIP_Code,Grant_Activity_Code,Grant_Number,Grant_Serial_Number,Project_Period_Start_Date,Grant_Project_Period_End_Date,HRSA_Program_Area_Code,HRSA_Program_Area_Name,Grant_Program_Name,US_Congressional_Representative_Name,Complete_County_Name,Name_of_US_Senator_Number_One,Name_of_US_Senator_Number_Two,Data_Warehouse_Record_Create_Date,Grantee_Type_Description,DUNS_Number,Geocoding_Artifact_Address_Primary_X_Coordinate,Geocoding_Artifact_Address_Primary_Y_Coordinate
2023,"HEALTH, WASHINGTON STATE DEPARTMENT OF",101 Israel Rd SE,Tumwater,WA,98501-5570,U4A,U4AMC44255,44255,2021/09/30,2026/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Marilyn Strickland,Thurston County,Patty Murray,Maria Cantwell,2024/11/04,U.S. Government Entity,808883128.0,-122.9061346,46.98538693
2023,"VIRTUA HEALTH, INC.",303 Lippincott Dr,Marlton,NJ,08053-4160,H17,H17MC48969,48969,2023/03/01,2028/02/29,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Andy Kim,Burlington County,Robert Menendez,George S. Helmy,2024/11/04,"Corporate Entity, Federal Tax Exempt",69691967.0,-74.92595654,39.88462363
2023,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,195 N 1950 W,Salt Lake City,UT,84116-3100,H33,H33MC06680,6680,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Celeste Maloy,Salt Lake County,Mike Lee,Mitt Romney,2024/11/04,U.S. Government Entity,959347972.0,-111.9474018,40.7747343
2023,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,417 Federal St,Dover,DE,19901-3635,H18,H18MC00008,8,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Lisa Blunt Rochester,Kent County,Thomas R. Carper,Christopher A. Coons,2024/11/04,U.S. Government Entity,103989187.0,-75.52151272,39.15560001
2023,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL,55 Lake Avenue North,Worcester,MA,01655,H4N,H4NMC49275,49275,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),James P. McGovern,Worcester County,Elizabeth Warren,Edward J. Markey,2024/11/04,U.S. Government Entity,603847393.0,-71.76167233,42.27757354
2023,SAFE & SOUND,1757 Waller St,San Francisco,CA,94117-2727,U2C,U2CMC42678,42678,2021/09/01,2024/12/31,MCHB,Maternal and Child Health,Screening and Interventions for Adverse Childhood Experiences in Primary Care Settings Demonstration (U2C),Nancy Pelosi,San Francisco County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",22969422.0,-122.45262561,37.76829265
2023,STONE SOUP GROUP,"307 E Northern Lights Blvd, Ste 100",Anchorage,AK,99503-2701,H84,H84MC12893,12893,2009/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Mary Sattler Peltola,Anchorage Borough,Lisa Murkowski,Dan Sullivan,2024/11/04,Other,154836600.0,-149.87737629,61.19541489
2023,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, SAN FRANCISCO, THE","1855 Folsom St, Ste 425",San Francisco,CA,94103-4249,R42,R42MC49148,49148,2023/07/01,2025/06/30,MCHB,Maternal and Child Health,R42 MCH Secondary Data Analysis Research (R42),Nancy Pelosi,San Francisco County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,94878337.0,-122.4154683,37.76727455
2023,"FEDERATION FOR CHILDREN WITH SPECIAL NEEDS, INC., THE",529 Main St STE 1M3,Charlestown,MA,02129-1117,H84,H84MC08005,8005,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Ayanna Pressley,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,"Corporate Entity, Federal Tax Exempt",153929351.0,-71.07193122,42.38452734
2023,MISSISSIPPI FAMILIES AS ALLIES INC,840 E River Pl STE 500,Jackson,MS,39202-3487,H84,H84MC45666,45666,2022/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Bennie G. Thompson,Hinds County,Roger F. Wicker,Cindy Hyde-Smith,2024/11/04,"Corporate Entity, Federal Tax Exempt",848310892.0,-90.16333333,32.30704352
2023,THE JOHNS HOPKINS UNIVERSITY,3400 N Charles St,Baltimore,MD,21218-2608,UT7,UT7MC45949,45949,2022/09/01,2027/08/31,MCHB,Maternal and Child Health,Autism Longitudinal Data Project (UT7),Kweisi Mfume,Baltimore City,Benjamin L. Cardin,Chris Van Hollen,2024/11/04,"Corporate Entity, Federal Tax Exempt",1910777.0,-76.61805999,39.33037802
2023,EMORY UNIVERSITY,201 Dowman Dr NE,Atlanta,GA,30322-1007,T76,T76MC28446,28446,2015/06/01,2025/05/31,MCHB,Maternal and Child Health,"Centers of Excellence in MCH Education, Science and Practice Program (T76)",Nikema Williams,DeKalb County,Jon Ossoff,Raphael G. Warnock,2024/11/04,"Corporate Entity, Federal Tax Exempt",66469933.0,-84.3257608,33.78995181
2023,THE MEDICAL UNIVERSITY OF SOUTH CAROLINA,179 Ashley Ave,Charleston,SC,29425-8908,T73,T73MC22233,22233,2011/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),James E. Clyburn,Charleston County,Lindsey Graham,Tim Scott,2024/11/04,U.S. Government Entity,183710748.0,-79.94738915,32.78693789
2023,"LEHIGH VALLEY HOSPITAL, INC.",1200 S Cedar Crest Blvd,Allentown,PA,18103-6202,H30,H30MC48960,48960,2022/10/01,2027/05/31,MCHB,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),Susan Wild,Lehigh County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",68572015.0,-75.52351901,40.56585753
2023,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,301 Centennial Mall S,Lincoln,NE,68508-2529,H18,H18MC00031,31,1993/01/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Mike Flood,Lancaster County,Deb Fischer,Pete Ricketts,2024/11/04,U.S. Government Entity,808819957.0,-96.69972264,40.81082791
2023,MISSISSIPPI STATE DEPARTMENT OF HEALTH,570 E Woodrow Wilson Ave,Jackson,MS,39216-4538,X10,X10MC50310,50310,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Michael Guest,Hinds County,Roger F. Wicker,Cindy Hyde-Smith,2024/11/04,U.S. Government Entity,809399892.0,-90.17616413,32.32687361
2023,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,4300 Cherry Creek Dr S,Denver,CO,80246-1523,U4C,U4CMC32327,32327,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Diana DeGette,Arapahoe County,Michael F. Bennet,John W. Hickenlooper,2024/11/04,U.S. Government Entity,878208826.0,-104.93814547,39.70564487
2023,"GREAT LAKES HEMOPHILIA FOUNDATION, INC.",638 N 18th St,Milwaukee,WI,53233-2121,H30,H30MC24052,24052,2012/06/01,2027/05/31,MCHB,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),Gwen Moore,Milwaukee County,Ron Johnson,Tammy Baldwin,2024/11/04,"Corporate Entity, Federal Tax Exempt",154444020.0,-87.93541533,43.03702275
2023,PRIMO CENTER FOR WOMEN AND CHILDREN,6212 S Sangamon St,Chicago,IL,60621-2006,H17,H17MC45459,45459,2022/03/01,2027/02/28,MCHB,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),Danny K. Davis,Cook County,Richard J. Durbin,Tammy Duckworth,2024/11/04,"Corporate Entity, Federal Tax Exempt",964958511.0,-87.64851134,41.78117138
2023,FLORIDA DEPARTMENT OF HEALTH,4052 Bald Cypress Way Bin 01,Tallahassee,FL,32399-0001,H61,H61MC00086,86,2001/09/30,2029/03/31,MCHB,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),Neal P. Dunn,Leon County,Marco Rubio,Rick Scott,2024/11/04,U.S. Government Entity,364215061.0,-84.233108,30.39055502
2023,OHIO DEPARTMENT OF HEALTH,246 N High St,Columbus,OH,43215-2406,A30,A30MC49999,49999,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Mike Carey,Franklin County,Sherrod Brown,J. D. Vance,2024/11/04,U.S. Government Entity,808847933.0,-83.00161171,39.96719149
2023,PA DEPARTMENT OF HUMAN SERVICES,625 Forster St,Harrisburg,PA,17120-0701,X10,X10MC50325,50325,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Scott Perry,Dauphin County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,U.S. Government Entity,796567790.0,-76.88251779,40.26790786
2023,"PARENT TO PARENT OF GEORGIA, INC",3070 Presidential Pkwy,Atlanta,GA,30340-3712,H84,H84MC07947,7947,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),"Henry C. “Hank” Johnson, Jr.",DeKalb County,Jon Ossoff,Raphael G. Warnock,2024/11/04,"Corporate Entity, Federal Tax Exempt",163071798.0,-84.27061416,33.87903929
2023,KANSAS DEPARTMENT OF HEALTH & ENVIRONMENT,1000 SW Jackson St STE 570,Topeka,KS,66612-1371,UK3,UK3MC50371,50371,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),Jake LaTurner,Shawnee County,Jerry Moran,Roger Marshall,2024/11/04,U.S. Government Entity,175941483.0,-95.67752943,39.04561281
2023,CHILDRENS HOSPITAL MEDICAL CENTER,3333 Burnet Ave,Cincinnati,OH,45229-3026,H84,H84MC28443,28443,2015/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Greg Landsman,Hamilton County,Sherrod Brown,J. D. Vance,2024/11/04,"Corporate Entity, Federal Tax Exempt",71284913.0,-84.50043304,39.14091425
2023,UNIVERSITY OF SOUTH CAROLINA,1600 Hampton St,Columbia,SC,29208-3403,T1C,T1CMC35361,35361,2020/06/01,2025/05/31,MCHB,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),James E. Clyburn,Richland County,Lindsey Graham,Tim Scott,2024/11/04,Other,41387846.0,-81.02830031,34.00741618
2023,"HEALTH RESEARCH, INC.",150 Broadway STE 280,Menands,NY,12204-2732,A30,A30MC49990,49990,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Paul Tonko,Albany County,Charles E. Schumer,Kirsten E. Gillibrand,2024/11/04,"Corporate Entity, Federal Tax Exempt",153695809.0,-73.729292,42.68724472
2023,HAWAII DEPARTMENT OF HEALTH,1250 Punchbowl St,Honolulu,HI,96813-2416,U4A,U4AMC53365,53365,2024/07/31,2025/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Ed Case,Honolulu County,Brian Schatz,Mazie K. Hirono,2024/11/04,U.S. Government Entity,809935679.0,-157.8553113,21.30745602
2023,UNIVERSITY OF MIAMI,1320 S Dixie Hwy STE 1200,Coral Gables,FL,33146-2926,R40,R40MC41747,41747,2021/07/01,2024/11/30,MCHB,Maternal and Child Health,Maternal and Child Health Field-Initiated Research Program (R40),Maria Elvira Salazar,Miami-Dade County,Marco Rubio,Rick Scott,2024/11/04,"Corporate Entity, Federal Tax Exempt",52780918.0,-80.27766509,25.7137698
2023,INDIANA DEPARTMENT OF HEALTH,2 N Meridian St,Indianapolis,IN,46204-3021,A30,A30MC49992,49992,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Andre Carson,Marion County,Todd Young,Mike Braun,2024/11/04,U.S. Government Entity,824799407.0,-86.15812145,39.76738666
2023,KANSAS DEPARTMENT OF HEALTH & ENVIRONMENT,1000 SW Jackson St STE 570,Topeka,KS,66612-1371,H18,H18MC00019,19,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Jake LaTurner,Shawnee County,Jerry Moran,Roger Marshall,2024/11/04,U.S. Government Entity,175941483.0,-95.67752943,39.04561281
2023,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,301 Centennial Mall S,Lincoln,NE,68508-2529,H61,H61MC00065,65,2001/03/31,2029/03/31,MCHB,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),Mike Flood,Lancaster County,Deb Fischer,Pete Ricketts,2024/11/04,U.S. Government Entity,808819957.0,-96.69972264,40.81082791
2023,"THE CHILDREN'S CABINET, INC.",1090 S Rock Blvd,Reno,NV,89502-7116,U7E,U7EMC42164,42164,2021/08/01,2026/07/31,MCHB,Maternal and Child Health,Early Childhood Comprehensive Systems: Health Integration Prenatal to Three Program (U7E),Mark E. Amodei,Washoe County,Catherine Cortez Masto,Jacky Rosen,2024/11/04,"Corporate Entity, Federal Tax Exempt",623996514.0,-119.75251143,39.49899724
2023,TRUSTEES OF INDIANA UNIVERSITY,980 Indiana Ave RM 2232,Indianapolis,IN,46202-2915,H33,H33MC11304,11304,2009/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Andre Carson,Marion County,Todd Young,Mike Braun,2024/11/04,Other,603007902.0,-86.1748451,39.7804564
2023,Seattle Children's Hospital,4800 Sand Point Way NE,Seattle,WA,98105-3901,U03,U03MC33156,33156,2019/09/01,2027/08/31,MCHB,Maternal and Child Health,Pediatric Emergency Care Applied Research Network (PECARN) (U03),Pramila Jayapal,King County,Patty Murray,Maria Cantwell,2024/11/04,"Corporate Entity, Federal Tax Exempt",48682157.0,-122.28353254,47.6641066
2023,STATE OF WISCONSIN DEPARTMENT OF HEALTH SERVICES,1 W Wilson St,Madison,WI,53703-3445,H33,H33MC06681,6681,2006/03/01,2027/03/31,MCHB,Maternal and Child Health,EMSC Partnership Grants (H33),Mark Pocan,Dane County,Ron Johnson,Tammy Baldwin,2024/11/04,U.S. Government Entity,36448835.0,-89.38186109,43.07212319
2023,BOSTON MEDICAL CENTER CORPORATION,840 Harrison Ave,Boston,MA,02118,UT9,UT9MC39477,39477,2020/09/01,2025/08/31,MCHB,Maternal and Child Health,Supporting Fetal Alcohol Spectrum Disorders (FASD) Screening and Intervention (UT9),Ayanna Pressley,Suffolk County,Elizabeth Warren,Edward J. Markey,2024/11/04,"Corporate Entity, Federal Tax Exempt",5492160.0,-71.07427349,42.33529916
2023,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,4200 5th Ave,Pittsburgh,PA,15260-0001,T73,T73MC00036,36,1995/07/01,2026/06/30,MCHB,Maternal and Child Health,Leadership Education in Neurodevelopmental and Related Disorders Training Program (T73),Summer L. Lee,Allegheny County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",4514360.0,-79.9534638,40.44533389
2023,STATE OF WISCONSIN DEPARTMENT OF HEALTH SERVICES,1 W Wilson St,Madison,WI,53703-3445,U4C,U4CMC32324,32324,2018/09/30,2026/09/29,MCHB,Maternal and Child Health,Pediatric Mental Health Care Access Program (U4C),Mark Pocan,Dane County,Ron Johnson,Tammy Baldwin,2024/11/04,U.S. Government Entity,36448835.0,-89.38186109,43.07212319
2023,THE CENTER FOR COMPREHENSIVE CARE & DIAGNOSIS OF INHERITED BLOOD DISORDERS,701 S Parker St,Orange,CA,92868-4720,H30,H30MC24045,24045,2012/06/01,2027/05/31,MCHB,Maternal and Child Health,Hemophilia Treatment Centers (SPRANS) (H30),J. Luis Correa,Orange County,Alex Padilla,Laphonza R. Butler,2024/11/04,"Corporate Entity, Federal Tax Exempt",961749319.0,-117.85956438,33.77648524
2023,DEPARTMENT OF PUBLIC HEALTH ILLINOIS,525 W Jefferson St,Springfield,IL,62702-5056,U4A,U4AMC53361,53361,2024/07/31,2025/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Nikki Budzinski,Sangamon County,Richard J. Durbin,Tammy Duckworth,2024/11/04,U.S. Government Entity,806660296.0,-89.66082541,39.803074
2023,DISTRICT OF COLUMBIA HOSPITAL ASSOC,1152 15th St NW STE 900,Washington,DC,20005-1723,A30,A30MC49985,49985,2023/09/01,2027/08/31,MCHB,Maternal and Child Health,Alliance for Innovation on Maternal Health (AIM) Capacity (A30),Eleanor Holmes Norton,District of Columbia,Not Determined,Not Determined,2024/11/04,"Corporate Entity, Federal Tax Exempt",53110375.0,-77.03523867,38.90494167
2023,OKLAHOMA DEPARTMENT OF MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES,2000 N Classen Blvd STE 600,Oklahoma City,OK,73106-6016,U4A,U4AMC53376,53376,2024/07/31,2025/09/29,MCHB,Maternal and Child Health,American Rescue Plan Act – Pediatric Mental Health Care Access New Area Expansion (U4A),Frank D. Lucas,Oklahoma County,James Lankford,Markwayne Mullin,2024/11/04,U.S. Government Entity,933662934.0,-97.53113233,35.4897763
2023,"MARICOPA, COUNTY OF",4041 North Central Avenue,Phoenix,AZ,85012,H49,H49MC52117,52117,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),Ruben Gallego,Maricopa County,Kyrsten Sinema,Mark Kelly,2024/11/04,U.S. Government Entity,602062515.0,-112.07299498,33.49342543
2023,COUNTY OF LOS ANGELES,5555 Ferguson Dr STE 100-50,Commerce,CA,90022-5133,UK3,UK3MC50369,50369,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,Screening and Treatment for Maternal Depression and Related Behavioral Disorders Program (UK3),Robert Garcia,Los Angeles County,Alex Padilla,Laphonza R. Butler,2024/11/04,U.S. Government Entity,624882309.0,-118.15278908,34.01025635
2023,MINNESOTA DEPARTMENT OF HEALTH,625 Robert St N,Saint Paul,MN,55155,X10,X10MC50309,50309,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Betty McCollum,Ramsey County,Amy Klobuchar,Tina Smith,2024/11/04,U.S. Government Entity,804887321.0,-93.09777602,44.95440305
2023,ARIZONA DEPARTMENT OF HEALTH SERVICES,150 N 18th Ave STE 530,Phoenix,AZ,85007-3248,U7A,U7AMC50503,50503,2023/09/30,2028/09/29,MCHB,Maternal and Child Health,State Maternal Health Innovation Program (U7A),Ruben Gallego,Maricopa County,Kyrsten Sinema,Mark Kelly,2024/11/04,U.S. Government Entity,804745420.0,-112.09822769,33.450005
2023,"PARENTS REACHING OUT TO HELP, INCORPORATED",2501 Yale Blvd SE STE 200,Albuquerque,NM,87106-4357,H84,H84MC08007,8007,2007/06/01,2027/05/31,MCHB,Maternal and Child Health,Family Professional Partnership/CSHCN (H84),Melanie A. Stansbury,Bernalillo County,Martin Heinrich,Ben Ray Luján,2024/11/04,"Corporate Entity, Federal Tax Exempt",168660009.0,-106.62207201,35.05405848
2023,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,4301 W Markham St,Little Rock,AR,72205-7199,T1C,T1CMC35359,35359,2020/06/01,2025/05/31,MCHB,Maternal and Child Health,Maternal and Child Health Public Health Catalyst Program (T1C),J. French Hill,Pulaski County,John Boozman,Tom Cotton,2024/11/04,"Corporate Entity, Federal Tax Exempt",122452563.0,-92.32001059,34.75151888
2023,ARIZONA DEPARTMENT OF HEALTH SERVICES,150 N 18th Ave STE 530,Phoenix,AZ,85007-3248,H18,H18MC00003,3,1993/10/01,2027/11/30,MCHB,Maternal and Child Health,MCHB State Systems Development Initiative (H18),Ruben Gallego,Maricopa County,Kyrsten Sinema,Mark Kelly,2024/11/04,U.S. Government Entity,804745420.0,-112.09822769,33.450005
2023,IOWA DEPARTMENT OF PUBLIC HEALTH,321 E 12th St,Des Moines,IA,50319-1002,H61,H61MC26835,26835,2014/04/01,2029/03/31,MCHB,Maternal and Child Health,Universal Newborn Hearing Screening and Intervention (H61),Zachary Nunn,Polk County,Chuck Grassley,Joni Ernst,2024/11/04,U.S. Government Entity,808345920.0,-93.6013818,41.59100343
2023,Puerto Rico Department of Health,"Edificio A, Antiguo Hospital Psiquistria, Calle Periferal, Bo. Monacillos",Mayagüez,PR,00935-0001,X10,X10MC50326,50326,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Jenniffer Gonzalez-Colon,San Juan Municipio,Not Determined,Not Determined,2024/11/04,U.S. Government Entity,105817142.0,-66.07372298,18.39543399
2023,The Pennsylvania State University,201 OLD MAIN,University Park,PA,16802-1503,T79,T79MC49101,49101,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),Glenn Thompson,Centre County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",3403953.0,-77.85390502,40.803315
2023,HAMILTON HEALTH CENTER INC,110 S 17th St,Harrisburg,PA,17104-1123,H49,H49MC12904,12904,2009/06/01,2029/03/31,MCHB,Maternal and Child Health,Healthy Start Initiative-Eliminating Racial/Ethnic Disparities (H49),Scott Perry,Dauphin County,"Robert P. Casey, Jr.",John Fetterman,2024/11/04,"Corporate Entity, Federal Tax Exempt",71202485.0,-76.86410325,40.26581729
2023,DEPARTMENT OF HEALTH NEW MEXICO,1190 S Saint Francis Dr,Santa Fe,NM,87505-4173,H4N,H4NMC49261,49261,2023/07/01,2028/06/30,MCHB,Maternal and Child Health,State Newborn Screening System Priorities Program (H4N),Teresa Leger Fernandez,Santa Fe County,Martin Heinrich,Ben Ray Luján,2024/11/04,U.S. Government Entity,808389274.0,-105.95495466,35.67166028
2023,UNIVERSITY OF ALABAMA AT BIRMINGHAM,701 20th St S,Birmingham,AL,35233-2031,T79,T79MC00011,11,1993/07/01,2028/06/30,MCHB,Maternal and Child Health,Maternal and Child Health Nutrition Training Program (T79),Terri A. Sewell,Jefferson County,Tommy Tuberville,Katie Boyd Britt,2024/11/04,Other,63690705.0,-86.79955706,33.50553288
2023,OREGON HEALTH AUTHORITY,500 Summer St NE # E-82,Salem,OR,97301-1064,X10,X10MC50324,50324,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Andrea Salinas,Marion County,Ron Wyden,Jeff Merkley,2024/11/04,U.S. Government Entity,878144021.0,-123.02733014,44.94277379
2023,NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,301 Centennial Mall S,Lincoln,NE,68508-2529,X10,X10MC50313,50313,2023/09/30,2025/09/29,MCHB,Maternal and Child Health,"Maternal, Infant and Early Childhood Homevisiting Grant Program (X10)",Mike Flood,Lancaster County,Deb Fischer,Pete Ricketts,2024/11/04,U.S. Government Entity,808819957.0,-96.69972264,40.81082791
