Grantee Name,Grant #,HRSA Program Area,Program Name,Activity Code,Fiscal Year,Financial Assistance,County,State,DUNS #,UEI #
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE,A30MC50015,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,999.00",Chittenden County,VT,066811191,Z94KLERAG5V9
STATE OF ALASKA DEPARTMENT OF HEALTH,B04MC47399,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,169,840.00",Juneau Borough,AK,809386543,LNQNF7PKBV13
"Public Health, California Department of",B04MC47403,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$41,406,438.00",Sacramento County,CA,799150615,KD2JSY6LNMW7
"DISTRICT OF COLUMBIA, GOVERNMENT OF",B04MC47407,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$7,014,114.00",District of Columbia,DC,106731248,XUYTN6MMLKE3
HAWAII DEPARTMENT OF HEALTH,B04MC47411,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,249,007.00",Honolulu County,HI,809935679,LFVFLBD6XZB5
FSM DEPARATMENT OF HEALTH AND SOCIAL AFFAIRS,B04MC47415,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$547,935.00",,FM,854812984,SPWNPA2VM2Z5
"HEALTH AND ENVIRONMENT, KANSAS DEPARTMENT OF",B04MC47419,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$4,785,381.00",Shawnee County,KS,175941483,CGSTLVM57LM5
MARYLAND DEPARTMENT OF HEALTH,B04MC47423,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,243,942.00",Baltimore City,MD,143148679,J5L2LBJK8RB8
MISSISSIPPI STATE DEPARTMENT OF HEALTH,B04MC47427,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$9,738,802.00",Hinds County,MS,809399892,GHELM9ULN8A1
NEVADA DEPARTMENT OF HEALTH AND HUMAN SERVICES,B04MC47431,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,286,437.00",Carson City,NV,625364849,F99FYNEGXSH9
NYS DEPARTMENT OF HEALTH,B04MC47435,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$39,810,418.00",Albany County,NY,806781340,F863WQVMZSK7
OHIO DEPARTMENT OF HEALTH,B04MC47439,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$23,335,455.00",Franklin County,OH,808847933,CLN8VY9APLQ5
Puerto Rico Department of Health,B04MC47443,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$16,714,888.00",San Juan Municipio,PR,105817142,NMLEHM4JTN15
TENNESSEE DEPARTMENT OF HEALTH,B04MC47447,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,541,218.00",Davidson County,TN,172636268,EA5JN3P55GR1
VIRGIN ISLANDS DEPT OF HEALTH GROUP,B04MC47451,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,574,592.00",St. Thomas,VI,167269765,HC9KX4GNNPK6
"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",B04MC47455,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$11,042,550.00",Dane County,WI,036448835,CG2SZ7HCNV54
"SICKLE CELL FOUNDATION OF ARIZONA, INC.",D1JMC42462,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Pima County,AZ,118003960,YG5JHM68UJ85
Sickle Cell Disease Association of Illinois,D1JMC42466,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Cook County,IL,020952065,TR9GWYMWM9L6
SICKLE CELL ASSOCIATION,D1JMC42470,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",St. Louis City,MO,078428020,KCH8HQTLCWM7
HEMOSTASIS & THROMBOSIS CENTER OF NEVADA,D1JMC42474,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Clark County,NV,080898090,P3V8MXR8YUR8
Sickle Cell Disease Association Of America/Philadelphia - Delaware Valley Chapter,D1JMC42478,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Philadelphia County,PA,604743930,PL8MM1CEFVM4
CRESCENT FOUNDATION,D1JMC46834,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Philadelphia County,PA,037991609,K5JWEF33CNK5
SICKLE CELL FOUNDATION OF TENNESSEE,D1JMC46838,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Shelby County,TN,035429623,LX94TML1E6N5
DISTRICT OF COLUMBIA HOSPITAL ASSOC,A30MC49985,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",District of Columbia,DC,053110375,LTE2GA3RFAF3
HEALTH RESEARCH & EDUCATIONAL TRUST OF NEW JERSEY,A30MC49989,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Mercer County,NJ,077060317,JKMFQANTKYF8
JEWISH HEALTHCARE FOUNDATION,A30MC49993,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,422.00",Allegheny County,PA,134756597,WWABH3V1SLY6
NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,A30MC49997,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Merrimack County,NH,011040545,LA2HR1U97VC6
SOUTH DAKOTA STATE UNIVERSITY,A30MC50003,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Brookings County,SD,929929743,DNZNC466DGR7
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,A30MC50012,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Orange County,NC,608195277,D3LHU66KBLD5
UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,A30MC50016,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Salt Lake County,UT,959347972,C172TQML5G99
DEPARTMENT OF HEALTH,B04MC47400,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$519,096.00",Western District,AS,854993177,JWV8MLNBAGC9
COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,B04MC47404,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$7,620,800.00",Arapahoe County,CO,878208826,Y3WEW9MQ6NH5
"Health, Florida Department of",B04MC47408,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$21,691,453.00",Leon County,FL,364215061,L924BA1SEN75
IDAHO DEPARTMENT OF HEALTH & WELFARE,B04MC47412,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$3,407,322.00",Ada County,ID,825201486,WP92EVJB9HF9
MINISTRY OF HEALTH IN THE REPU BLIC OF THE MARSHALL ISLANDS,B04MC47416,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$242,243.00",,MH,854862633,SD96AMWETGC8
"HEALTH & FAMILY SERVICES, KENTUCKY CABINET FOR",B04MC47420,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$11,722,692.00",Franklin County,KY,927049767,LECJQDCLHVE5
"PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF",B04MC47424,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$11,292,769.00",Suffolk County,MA,878298900,DLKMR1QVDX34
MISSOURI DEPARTMENT OF HEALTH & SENIOR SERVICES,B04MC47428,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,834,718.00",Cole County,MO,878092600,UETLXV8NG8F4
NEW HAMPSHIRE DEPARTMENT OF HEALTH & HUMAN SERVICES,B04MC47432,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,020,741.00",Merrimack County,NH,011040545,LA2HR1U97VC6
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SERVICES,B04MC47436,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$18,607,695.00",Wake County,NC,809785363,DKT3LLBWFVL3
OKLAHOMA STATE DEPARTMENT OF HEALTH,B04MC47440,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$7,732,382.00",Oklahoma County,OK,143673015,LFU8Z8MPLTG3
"HEALTH, RHODE ISLAND DEPARTMENT OF",B04MC47444,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,706,187.00",Providence County,RI,145310553,DMNCMMRZP5G5
DEPARTMENT OF STATE HEALTH SERVICES,B04MC47448,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$38,954,671.00",Travis County,TX,807391511,NFHJD7V9MGN3
COMMONWEALTH OF VIRGINIA STATE BOARD OF HEALTH,B04MC47452,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$13,061,969.00",Richmond City,VA,602160298,JKF3BS4U4PG1
DEPARTMENT OF HEALTH WYOMING,B04MC47456,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,178,697.00",Laramie County,WY,809915796,JP1QRJYYJG73
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,A30MC49983,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Douglas County,NE,168559177,G15AG3BLLMH4
MICHIGAN HEALTH AND HUMAN SERVICES,A30MC49987,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Ingham County,MI,113704139,C2AQVDYYUAS7
Healthcare Association of Hawaii,A30MC49991,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,826.00",Honolulu County,HI,,F5XNKJYXFVM3
MISSISSIPPI STATE DEPARTMENT OF HEALTH,A30MC49995,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Hinds County,MS,809399892,GHELM9ULN8A1
OHIO DEPARTMENT OF HEALTH,A30MC49999,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Franklin County,OH,808847933,CLN8VY9APLQ5
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,A30MC50006,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,978.00",Pulaski County,AR,122452563,VDFYLZPJEAV6
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,A30MC50014,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",San Juan Municipio,PR,948108063,KWTAB1GYM4L9
"PUBLIC HEALTH, ALABAMA DEPARTMENT OF",B04MC47398,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,060,270.00",Montgomery County,AL,613842061,WDVJK7FUB8A6
ARKANSAS DEPARTMENT OF HEALTH,B04MC47402,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$7,376,761.00",Pulaski County,AR,809873185,SYB9UJV328L9
Executive Office Of The Governor Of Delaware,B04MC47406,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,126,787.00",Kent County,DE,103989187,GKQPH6J32LN7
DEPARTMENT OF PUBLIC HEALTH &  SOCIAL SERVICES,B04MC47410,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$801,715.00",Guam,GU,855028700,QM41LQWVXCK8
INDIANA STATE DEPARTMENT OF HEALTH,B04MC47414,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,805,884.00",Marion County,IN,824799407,GXFMGZLP95D9
IOWA DEPARTMENT OF PUBLIC HEALTH,B04MC47418,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$6,750,301.00",Polk County,IA,808345920,S47QLSY37VS1
"Health And Human Services, Maine Department Of",B04MC47422,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$3,356,471.00",Kennebec County,ME,809045594,GJEPWTMKF5A3
MINNESOTA DEPARTMENT OF HEALTH,B04MC47426,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$9,477,092.00",Ramsey County,MN,804887321,DHQVY2WCVHC5
NEBRASKA DEPARTMENT OF HEALTH & HUMAN SERVICES,B04MC47430,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$3,951,962.00",Lancaster County,NE,808819957,HKQDEXRXGKL1
"HEALTH, NEW MEXICO DEPARTMENT OF",B04MC47434,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$4,385,905.00",Santa Fe County,NM,782914170,HG44Y3KS4JP6
COMMONWEALTH HEALTHCARE CORPORATION,B04MC47438,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$490,258.00",Saipan Municipality,MP,854858560,J9ANMNJ3QJM6
PENNSYLVANIA DEPARTMENT OF HEALTH,B04MC47442,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$24,864,549.00",Dauphin County,PA,614489839,JYYWJ2QYHQP5
SOUTH DAKOTA DEPARTMENT OF HEALTH,B04MC47446,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,279,765.00",Hughes County,SD,809587710,J84PKUEWQ6Y5
HUMAN SERVICES VERMONT AGENCY OF,B04MC47450,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,674,448.00",Washington County,VT,809376155,YLQARK22FMQ1
"Health And Human Resources, West Virginia Department Of",B04MC47454,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$6,367,323.00",Kanawha County,WV,140779708,YZ2HCE5SELE6
"SICKLE CELL FOUNDATION OF GEORGIA, INC.",D1JMC42465,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Fulton County,GA,022345649,CKJUG816G133
SICKLE CELL DISEASE ASSOCIATION OF AMERICA,D1JMC42469,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Wayne County,MI,124022237,FQF3B2A3JSG4
JAMES R. CLARK MEMORIAL SICKLE CELL FOUNDATION,D1JMC42473,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Richland County,SC,167456946,KW2LFRVZ5919
THE SICKLE CELL ASSOCIATION OF NEW JERSEY INC,D1JMC42477,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Essex County,NJ,967686580,UNMTSNWJZM31
SUPPORTERS OF FAMILIES WITH SICKLE CELL DISEASE INC,D1JMC42481,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Tulsa County,OK,048244371,XW8JKSAXLX47
SICKLE CELL DISEASE FOUNDATION,D1JMC46837,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",San Bernardino County,CA,144544426,ENH2G2QY5428
"HEALTH & FAMILY SERVICES, KENTUCKY CABINET FOR",A30MC49986,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Franklin County,KY,927049767,LECJQDCLHVE5
"HEALTH RESEARCH, INC.",A30MC49990,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Albany County,NY,153695809,WJ37AD42G8A5
MARYLAND DEPARTMENT OF HEALTH,A30MC49994,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,277.00",Baltimore City,MD,143148679,J5L2LBJK8RB8
Northwestern University,A30MC49998,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Cook County,IL,005436803,KG76WYENL5K1
University Of Alabama At Birmingham,A30MC50005,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Jefferson County,AL,063690705,YND4PLMC9AN7
University of North Dakota,A30MC50013,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$200,000.00",Grand Forks County,ND,102280781,RSWNKK6J8CF3
Washington State Hospital Association,A30MC50017,Maternal and Child Health,Alliance for Innovation on Maternal Health State Capacity Program (A30),A30,2023,"$199,845.00",King County,WA,071834600,TMZFQE3Y5AR3
ARIZONA DEPARTMENT OF HEALTH SERVICES,B04MC47401,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$8,057,500.00",Maricopa County,AZ,804745420,QMWUG1AMYF65
DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,B04MC47405,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$4,825,703.00",Hartford County,CT,807853791,RFZKKT5RU3F8
STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,B04MC47409,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$18,105,904.00",Fulton County,GA,968217559,GUT1BFELPFJ1
DEPARTMENT OF PUBLIC HEALTH ILLINOIS,B04MC47413,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$21,862,953.00",Sangamon County,IL,806660296,NN66PR7QMLR8
PALAU MINISTRY OF HEALTH,B04MC47417,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$155,729.00",,PW,854813003,XBK8DJ4UV3D3
"HEALTH, LOUISIANA DEPARTMENT OF",B04MC47421,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,927,212.00",Orleans Parish,LA,014740455,L2GPNJZBM283
MICHIGAN HEALTH AND HUMAN SERVICES,B04MC47425,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$19,735,627.00",Ingham County,MI,113704139,C2AQVDYYUAS7
"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",B04MC47429,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$2,366,470.00",Lewis and Clark County,MT,051659352,TR3DAXR9MCN8
"HEALTH, NEW JERSEY DEPARTMENT OF",B04MC47433,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,222,582.00",Mercer County,NJ,806418075,MQKPEU6D1BT5
NORTH DAKOTA DEPARTMENT OF HEALTH AND HUMAN SERVICES,B04MC47437,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$1,786,380.00",Burleigh County,ND,067976824,U4BCQ8P144P6
"HUMAN SERVICES, OREGON DEPARTMENT OF",B04MC47441,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$6,255,581.00",Marion County,OR,878144021,HFJRBHKCBPR5
SOUTH CAROLINA DEPARTMENT OF HEALTH & ENVIRONMENTAL CONTROL,B04MC47445,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$12,125,016.00",Richland County,SC,808385892,JNZSNC4MUMS7
UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,B04MC47449,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$6,313,258.00",Salt Lake County,UT,959347972,C172TQML5G99
"HEALTH, WASHINGTON STATE DEPARTMENT OF",B04MC47453,Maternal and Child Health,Maternal and Child Health Services (B04),B04,2023,"$9,291,061.00",Thurston County,WA,808883128,C16SP2HBR123
UNIVERSITY OF MIAMI,D1JMC42464,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Miami-Dade County,FL,052780918,F8THLJQSAF93
"SICKLE CELL ASSOCIATION OF SOUTH LOUISIANA, INC.",D1JMC42468,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",East Baton Rouge Parish,LA,837889542,JMN4NVNX86P4
CHILDREN'S SICKLE CELL FOUNDATION INC,D1JMC42472,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Allegheny County,PA,021037008,D2HLXBZ1LHW7
"SICKLE CELL ANEMIA FOUNDATION OF OREGON, INC.",D1JMC42476,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Multnomah County,OR,017284767,LBWTNGEJSNS5
"SICKLE CELL/THALASSEMIA PATIENTS NETWORKS, INC.",D1JMC42480,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$240,000.00",Kings County,NY,022980380,U2UHYURL3DJ1
SICKLE CELL DISEASE ASSOCIATION OF AMERICA MOBILE CHAPTER INC,D1JMC46836,Maternal and Child Health,Sickle Cell Disease Newborn Screening Follow-up Program (D1J),D1J,2023,"$239,567.00",Mobile County,AL,102073350,DZBQQ3748MZ6
The New York and Presbyterian Hospital,H17MC32708,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$49,999.00",New York County,NY,012729476,JQLMFNLA4BP4
VISTA COMMUNITY CLINIC,H17MC33886,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",San Diego County,CA,073383754,MWKKGMFABCQ8
MONTEFIORE MEDICAL CENTER,H17MC33892,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Bronx County,NY,041581026,FP1VD1HU5HV7
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",H17MC40187,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",San Diego County,CA,073333221,NQRCS8JMRQN6
MONTEFIORE MEDICAL CENTER,H17MC40191,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Bronx County,NY,041581026,FP1VD1HU5HV7
University of Texas At El Paso,H17MC40195,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",El Paso County,TX,132051285,C1DEGMMKC7W7
The New York and Presbyterian Hospital,H17MC45458,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",New York County,NY,012729476,JQLMFNLA4BP4
ALTAMED HEALTH SERVICES CORP,H17MC48961,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Los Angeles County,CA,083906024,D3DTJBVZRVB8
MATERNAL & CHILD HEALTH CONSOR,H17MC48965,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Chester County,PA,137424672,LGBJJYUK79J4
"Virtua Health, Inc.",H17MC48969,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Burlington County,NJ,069691967,FE8MTX5REGB6
ARKANSAS DEPARTMENT OF HEALTH,H18MC00004,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Pulaski County,AR,809873185,SYB9UJV328L9
"Health, Florida Department of",H18MC00010,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Leon County,FL,364215061,L924BA1SEN75
IOWA DEPARTMENT OF PUBLIC HEALTH,H18MC00018,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$100,000.00",Polk County,IA,808345920,S47QLSY37VS1
"Health And Human Services, Maine Department Of",H18MC00022,Maternal and Child Health,MCHB State Systems Development Initiative (H18),H18,2023,"$95,836.00",Kennebec County,ME,809045594,GJEPWTMKF5A3
MAIMONIDES MEDICAL CENTER,H17MC32707,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Kings County,NY,057381535,WT9MJ8VP92H7
PEOPLE INCORPORATED OF VIRGINIA,H17MC32711,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Washington County,VA,030683395,W3YDLBPBALF7
ONEWORLD COMMUNITY HEALTH CENTERS INC,H17MC33891,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Douglas County,NE,168559284,ZMN6JSDMWSL1
"CENTER FOR TRAUMA COUNSELING, INC.",H17MC40186,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$50,000.00",Palm Beach County,FL,050637948,N1ELJZDJVCM6
MGH FAMILY HEALTH CENTER,H17MC40190,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,$1.00,Muskegon County,MI,039712711,YX87LXQJXXN5
"UNIVERSITY OF MARYLAND, BALTIMORE",H17MC40194,Maternal and Child Health,Healthy Tomorrows Partnership for Children Program (H17),H17,2023,"$49,784.00",Baltimore City,MD,188435911,Z9CRZKD42ZT1
